"HOD050.Code.or.Value","HOD050.Value.Description","HOD050.Count","HOD050.Cumulative","HOD050.Skip.to.Item"
"1 to 12","Range of Values",10725,10725,NA
"13","13 or More",93,10818,NA
"777","Refused",19,10837,NA
"999","Don't know",28,10865,NA
".","Missing",174,11039,NA
