"BPQ059.Code.or.Value","BPQ059.Value.Description","BPQ059.Count","BPQ059.Cumulative","BPQ059.Skip.to.Item"
"1","Yes",775,775,NA
"2","No",6114,6889,NA
"7","Refused",0,6889,NA
"9","Don't know",0,6889,NA
".","Missing",0,6889,NA
