"OPDSPIGA.Code.or.Value","OPDSPIGA.Value.Description","OPDSPIGA.Count","OPDSPIGA.Cumulative","OPDSPIGA.Skip.to.Item"
"0","No",2937,2937,NA
"1","Yes",116,3053,NA
".","Missing",810,3863,NA
