"OSQ160a.Code.or.Value","OSQ160a.Value.Description","OSQ160a.Count","OSQ160a.Cumulative","OSQ160a.Skip.to.Item"
"1","Mother",436,436,NA
"7","Refused",0,436,NA
"9","Don't know",0,436,NA
".","Missing",3379,3815,NA
