"SMD100MN.Code.or.Value","SMD100MN.Value.Description","SMD100MN.Count","SMD100MN.Cumulative","SMD100MN.Skip.to.Item"
"0","Non-menthol",652,652,NA
"1","Menthol",371,1023,NA
".","Missing",5767,6790,NA
