"WTSB2YR.Code.or.Value","WTSB2YR.Value.Description","WTSB2YR.Count","WTSB2YR.Cumulative","WTSB2YR.Skip.to.Item"
"16432.45057 to 482310.7883","Range of Values",2318,2318,NA
"0","No Lab Result",21,2339,NA
".","Missing",0,2339,NA
