"OSQ090c.Code.or.Value","OSQ090c.Value.Description","OSQ090c.Count","OSQ090c.Cumulative","OSQ090c.Skip.to.Item"
"1","Yes",77,77,"OSQ120c"
"2","No",29,106,""
"7","Refused",0,106,"OSQ120c"
"9","Don't know",1,107,"OSQ120c"
".","Missing",5828,5935,""
