"DXXPT76Y.Code.or.Value","DXXPT76Y.Value.Description","DXXPT76Y.Count","DXXPT76Y.Cumulative","DXXPT76Y.Skip.to.Item"
"124.8 to 361.2","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
