"URDNO3LC.Code.or.Value","URDNO3LC.Value.Description","URDNO3LC.Count","URDNO3LC.Cumulative","URDNO3LC.Skip.to.Item"
"0","At or above the detection limit",2237,2237,NA
"1","Below lower detection limit",6,2243,NA
".","Missing",106,2349,NA
