"DR2ITFAT.Code.or.Value","DR2ITFAT.Value.Description","DR2ITFAT.Count","DR2ITFAT.Cumulative","DR2ITFAT.Skip.to.Item"
"0 to 187.74","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
