"DXXSMY.Code.or.Value","DXXSMY.Value.Description","DXXSMY.Count","DXXSMY.Cumulative","DXXSMY.Skip.to.Item"
"38.5 to 226.6","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
