"AUXLR232.Code.or.Value","AUXLR232.Value.Description","AUXLR232.Count","AUXLR232.Cumulative","AUXLR232.Skip.to.Item"
"-34 to 40","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
