"URDP02LC.Code.or.Value","URDP02LC.Value.Description","URDP02LC.Count","URDP02LC.Cumulative","URDP02LC.Skip.to.Item"
"0","At or above the detection limit",2641,2641,NA
"1","below lower detection limit",0,2641,NA
".","Missing",114,2755,NA
