"AUXRR138.Code.or.Value","AUXRR138.Value.Description","AUXRR138.Count","AUXRR138.Cumulative","AUXRR138.Skip.to.Item"
"-17 to 48","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
