"WBXA021.Code.or.Value","WBXA021.Value.Description","WBXA021.Count","WBXA021.Cumulative","WBXA021.Skip.to.Item"
"-2.6243 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
