"WBXP011.Code.or.Value","WBXP011.Value.Description","WBXP011.Count","WBXP011.Cumulative","WBXP011.Skip.to.Item"
"-138.7303 to 156.319","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
