"DS1IMFAT.Code.or.Value","DS1IMFAT.Value.Description","DS1IMFAT.Count","DS1IMFAT.Cumulative","DS1IMFAT.Skip.to.Item"
"0.01 to 5","Range of Values",114,114,NA
".","Missing",5609,5723,NA
