"SMQ660.Code.or.Value","SMQ660.Value.Description","SMQ660.Count","SMQ660.Cumulative","SMQ660.Skip.to.Item"
"1","Marlboro",195,195,NA
"2","Camel",14,209,NA
"3","Newport",128,337,NA
"4","Kool",4,341,NA
"5","Winston",4,345,NA
"6","Benson and Hedges",4,349,NA
"7","Salem",1,350,NA
"8","Some other brand",19,369,NA
"77","Refused",1,370,NA
"99","Don't know",0,370,NA
".","Missing",6388,6758,NA
