"WTSHM07.Code.or.Value","WTSHM07.Value.Description","WTSHM07.Count","WTSHM07.Cumulative","WTSHM07.Skip.to.Item"
"0.0000000 to 776431.8632000","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
