"WHD050.Code.or.Value","WHD050.Value.Description","WHD050.Count","WHD050.Cumulative","WHD050.Skip.to.Item"
"67 to 520","Range of Values",6052,6052,NA
"7777","Refused",4,6056,NA
"9999","Don't know",105,6161,NA
".","Missing",0,6161,NA
