"RIDAGEYR.Code.or.Value","RIDAGEYR.Value.Description","RIDAGEYR.Count","RIDAGEYR.Cumulative","RIDAGEYR.Skip.to.Item"
"0 to 79","Range of Values",9710,9710,NA
"80",">= 80 years of age",439,10149,NA
".","Missing",0,10149,NA
