"DXXWDGDE.Code.or.Value","DXXWDGDE.Value.Description","DXXWDGDE.Count","DXXWDGDE.Cumulative","DXXWDGDE.Skip.to.Item"
"-0.198 to 0.229","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
