"CIQD036.Code.or.Value","CIQD036.Value.Description","CIQD036.Count","CIQD036.Cumulative","CIQD036.Skip.to.Item"
"1","Yes",51,51,NA
"2","No",58,109,NA
"7","Refuse",0,109,NA
"9","Don't know",0,109,NA
".","Missing",669,778,NA
