"LBDD04LC.Code.or.Value","LBDD04LC.Value.Description","LBDD04LC.Count","LBDD04LC.Cumulative","LBDD04LC.Skip.to.Item"
"0","At or above the detection limit",199,199,NA
"1","Below lower detection limit",47,246,NA
".","Missing",1,247,NA
