"WBXA058.Code.or.Value","WBXA058.Value.Description","WBXA058.Count","WBXA058.Cumulative","WBXA058.Skip.to.Item"
"-3.2135 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
