"SPDBRONC.Code.or.Value","SPDBRONC.Value.Description","SPDBRONC.Count","SPDBRONC.Cumulative","SPDBRONC.Skip.to.Item"
"1","Yes",1001,1001,NA
"2","No",5443,6444,NA
".","Missing",1299,7743,NA
