"WBXA017.Code.or.Value","WBXA017.Value.Description","WBXA017.Count","WBXA017.Cumulative","WBXA017.Skip.to.Item"
"-14.1448 to 0.9992","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
