"BIXC013K.Code.or.Value","BIXC013K.Value.Description","BIXC013K.Count","BIXC013K.Cumulative","BIXC013K.Skip.to.Item"
"17.11 to 174.84","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
