"LBXTBA.Code.or.Value","LBXTBA.Value.Description","LBXTBA.Count","LBXTBA.Cumulative","LBXTBA.Skip.to.Item"
"0 to 11","Range of Values",7111,7111,NA
".","Missing",710,7821,NA
