"DR1TM221.Code.or.Value","DR1TM221.Value.Description","DR1TM221.Count","DR1TM221.Cumulative","DR1TM221.Skip.to.Item"
"0 to 3.038","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
