"DS1IVC.Code.or.Value","DS1IVC.Value.Description","DS1IVC.Count","DS1IVC.Cumulative","DS1IVC.Skip.to.Item"
"1.32 to 10000","Range of Values",2380,2380,NA
".","Missing",3526,5906,NA
