"DXXPT68X.Code.or.Value","DXXPT68X.Value.Description","DXXPT68X.Count","DXXPT68X.Cumulative","DXXPT68X.Skip.to.Item"
"-0.4 to 554.5","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
