"WHQ080E.Code.or.Value","WHQ080E.Value.Description","WHQ080E.Count","WHQ080E.Cumulative","WHQ080E.Skip.to.Item"
"14","Skipped meals",307,307,NA
".","Missing",5737,6044,NA
