"TYXA128.Code.or.Value","TYXA128.Value.Description","TYXA128.Count","TYXA128.Cumulative","TYXA128.Skip.to.Item"
"0.09 to 6.504","Range of Values",5006,5006,NA
".","Missing",579,5585,NA
