"SMQ840.Code.or.Value","SMQ840.Value.Description","SMQ840.Count","SMQ840.Cumulative","SMQ840.Skip.to.Item"
"1","Today",14,14,NA
"2","Yesterday",9,23,NA
"3","3 to 5 days ago",9,32,NA
"7","Refused",0,32,NA
"9","Don't know",0,32,NA
".","Missing",6517,6549,NA
