"ORXH72.Code.or.Value","ORXH72.Value.Description","ORXH72.Count","ORXH72.Cumulative","ORXH72.Skip.to.Item"
"1","Positive",27,27,NA
"2","Negative",4820,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
