"WTSMSMPA.Code.or.Value","WTSMSMPA.Value.Description","WTSMSMPA.Count","WTSMSMPA.Cumulative","WTSMSMPA.Skip.to.Item"
"92401.04944 to 3363512.5108","Range of Values",264,264,NA
".","Missing",0,264,NA
