"DXXSPX.Code.or.Value","DXXSPX.Value.Description","DXXSPX.Count","DXXSPX.Cumulative","DXXSPX.Skip.to.Item"
"0 to 2","Range of Values",3110,3110,NA
".","Missing",598,3708,NA
