"DXXPT44X.Code.or.Value","DXXPT44X.Value.Description","DXXPT44X.Count","DXXPT44X.Cumulative","DXXPT44X.Skip.to.Item"
"462.7 to 1053.6","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
