"URDP10LC.Code.or.Value","URDP10LC.Value.Description","URDP10LC.Count","URDP10LC.Cumulative","URDP10LC.Skip.to.Item"
"0","At or above the detection limit",2458,2458,NA
"1","Below lower detection limit",29,2487,NA
".","Missing",107,2594,NA
