"RFXT133.Code.or.Value","RFXT133.Value.Description","RFXT133.Count","RFXT133.Cumulative","RFXT133.Skip.to.Item"
"1159 to 1167","Range of Values",33679,33679,NA
".","Missing",42,33721,NA
