"DXXPT58Y.Code.or.Value","DXXPT58Y.Value.Description","DXXPT58Y.Count","DXXPT58Y.Cumulative","DXXPT58Y.Skip.to.Item"
"38.5 to 224.6","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
