"URDMOPLC.Code.or.Value","URDMOPLC.Value.Description","URDMOPLC.Count","URDMOPLC.Cumulative","URDMOPLC.Skip.to.Item"
"0","At or above the detection limit",60,60,NA
"1","Below lower detection limit",2689,2749,NA
".","Missing",70,2819,NA
