"LBXSATSI.Code.or.Value","LBXSATSI.Value.Description","LBXSATSI.Count","LBXSATSI.Cumulative","LBXSATSI.Skip.to.Item"
"5 to 1363","Range of Values",5972,5972,NA
".","Missing",577,6549,NA
