"RFXT017.Code.or.Value","RFXT017.Value.Description","RFXT017.Count","RFXT017.Cumulative","RFXT017.Skip.to.Item"
"133 to 141","Range of Values",51072,51072,NA
".","Missing",4,51076,NA
