"MSDPFVEL.Code.or.Value","MSDPFVEL.Value.Description","MSDPFVEL.Count","MSDPFVEL.Cumulative","MSDPFVEL.Skip.to.Item"
"-5.75 to 68.25","Range of Values",1542,1542,NA
".","Missing",751,2293,NA
