"DXXPT18X.Code.or.Value","DXXPT18X.Value.Description","DXXPT18X.Count","DXXPT18X.Cumulative","DXXPT18X.Skip.to.Item"
"603.2 to 1183.2","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
