"DXXIMY.Code.or.Value","DXXIMY.Value.Description","DXXIMY.Count","DXXIMY.Cumulative","DXXIMY.Skip.to.Item"
"178.9 to 419.6","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
