"BPXDI1.Code.or.Value","BPXDI1.Value.Description","BPXDI1.Count","BPXDI1.Cumulative","BPXDI1.Skip.to.Item"
"0 to 120","Range of Values",7145,7145,NA
".","Missing",2399,9544,NA
