"DR2IS080.Code.or.Value","DR2IS080.Value.Description","DR2IS080.Count","DR2IS080.Cumulative","DR2IS080.Skip.to.Item"
"0 to 3.586","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
