"URXP09.Code.or.Value","URXP09.Value.Description","URXP09.Count","URXP09.Cumulative","URXP09.Skip.to.Item"
"2.5 to 5489.5","Range of Values",2236,2236,NA
".","Missing",412,2648,NA
