"DS1TTFAT.Code.or.Value","DS1TTFAT.Value.Description","DS1TTFAT.Count","DS1TTFAT.Cumulative","DS1TTFAT.Skip.to.Item"
"0.02 to 30","Range of Values",561,561,NA
".","Missing",8983,9544,NA
