"LBCBR1.Code.or.Value","LBCBR1.Value.Description","LBCBR1.Count","LBCBR1.Cumulative","LBCBR1.Skip.to.Item"
"1.8 to 9.8","Range of Values",264,264,NA
".","Missing",0,264,NA
