"PEASCST1.Code.or.Value","PEASCST1.Value.Description","PEASCST1.Count","PEASCST1.Cumulative","PEASCST1.Skip.to.Item"
"1","Complete",9004,9004,NA
"2","Partial",1,9005,NA
"3","Not done",333,9338,NA
".","Missing",0,9338,NA
