"VTQ231A.Code.or.Value","VTQ231A.Value.Description","VTQ231A.Count","VTQ231A.Cumulative","VTQ231A.Skip.to.Item"
"1","Yes",707,707,NA
"2","No",2354,3061,NA
"7","Refused",0,3061,NA
"9","Don't know",41,3102,NA
".","Missing",387,3489,NA
