"DR1TVB12.Code.or.Value","DR1TVB12.Value.Description","DR1TVB12.Count","DR1TVB12.Cumulative","DR1TVB12.Skip.to.Item"
"0 to 287.9","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
