"LBC153LA.Code.or.Value","LBC153LA.Value.Description","LBC153LA.Count","LBC153LA.Cumulative","LBC153LA.Skip.to.Item"
"1.339 to 175.2","Range of Values",251,251,NA
".","Missing",0,251,NA
