"DR2TP226.Code.or.Value","DR2TP226.Value.Description","DR2TP226.Count","DR2TP226.Cumulative","DR2TP226.Skip.to.Item"
"0 to 3.932","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
