"DS2ICALC.Code.or.Value","DS2ICALC.Value.Description","DS2ICALC.Count","DS2ICALC.Cumulative","DS2ICALC.Skip.to.Item"
"0.1 to 2650","Range of Values",1600,1600,NA
".","Missing",3998,5598,NA
