"BIXS010K.Code.or.Value","BIXS010K.Value.Description","BIXS010K.Count","BIXS010K.Cumulative","BIXS010K.Skip.to.Item"
"289.73 to 1067.01","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
