"HSQ510.Code.or.Value","HSQ510.Value.Description","HSQ510.Count","HSQ510.Cumulative","HSQ510.Skip.to.Item"
"1","Yes",734,734,NA
"2","No",7744,8478,NA
"7","Refused",1,8479,NA
"9","Don't know",6,8485,NA
".","Missing",1050,9535,NA
