"DRD350EQ.Code.or.Value","DRD350EQ.Value.Description","DRD350EQ.Count","DRD350EQ.Cumulative","DRD350EQ.Skip.to.Item"
"1 to 6","Range of Values",207,207,NA
".","Missing",9337,9544,NA
