"DR1IPROT.Code.or.Value","DR1IPROT.Value.Description","DR1IPROT.Count","DR1IPROT.Cumulative","DR1IPROT.Skip.to.Item"
"0 to 229.27","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
