"TYXP190.Code.or.Value","TYXP190.Value.Description","TYXP190.Count","TYXP190.Cumulative","TYXP190.Skip.to.Item"
"-299 to 0","Range of Values",1413,1413,NA
".","Missing",7056,8469,NA
